
#  m=4, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,6.1735,0.1019,1875.59,26.62
2,2.4292,0.1019,1887.23,26.45
3,2.3303,0.1004,1857.69,26.87
4,2.3097,0.1057,1870.33,26.69
5,2.3028,0.1061,1873.50,26.65
6,2.2995,0.1089,1872.57,26.66
7,2.2970,0.1098,1871.93,26.67
8,2.2612,0.1369,1872.45,26.66
9,2.0935,0.1921,1873.02,26.65
10,1.9832,0.2276,1872.76,26.66
11,1.9211,0.2514,1871.77,26.67
12,1.8790,0.2732,1871.74,26.67
13,1.8622,0.2847,1872.06,26.67
14,1.8265,0.2955,1871.16,26.68
15,1.7097,0.3462,1871.99,26.67
16,1.6517,0.3786,1872.65,26.66
17,1.6055,0.4052,1872.12,26.66
18,1.5317,0.4351,1870.82,26.68
19,1.4330,0.4751,1871.59,26.67
20,1.3674,0.5029,1872.42,26.66
21,1.3453,0.5161,1872.37,26.66
22,1.2926,0.5344,1871.49,26.67
23,1.4121,0.4930,1871.39,26.68
24,1.3102,0.5328,1871.75,26.67
25,1.2626,0.5490,1871.83,26.67
26,1.1942,0.5749,1872.26,26.66
27,1.1697,0.5833,1871.39,26.68
28,1.1320,0.5987,1871.10,26.68
29,1.1208,0.6038,1871.39,26.68
30,1.0594,0.6259,1871.45,26.67
31,1.0417,0.6330,1872.05,26.67
32,1.0042,0.6479,1871.32,26.68
33,0.9744,0.6587,1872.13,26.66
34,0.9487,0.6676,1867.05,26.74
35,0.9290,0.6745,1871.34,26.68
36,0.9107,0.6833,1871.69,26.67
37,0.8784,0.6945,1871.34,26.68
38,0.8628,0.6990,1871.21,26.68
39,0.8447,0.7085,1871.34,26.68
40,0.8240,0.7160,1872.63,26.66
41,0.8058,0.7217,1871.47,26.67
42,0.7904,0.7275,1873.21,26.65
43,0.7754,0.7316,1872.29,26.66
44,0.7575,0.7385,1853.65,26.93
45,0.7435,0.7424,1872.17,26.66
46,0.7361,0.7457,1871.19,26.68
47,0.7269,0.7489,1872.45,26.66
48,0.7073,0.7561,1872.14,26.66
49,0.7038,0.7577,1872.43,26.66
50,0.6957,0.7616,1872.25,26.66
51,0.6862,0.7635,1872.14,26.66
52,0.6876,0.7644,1872.12,26.66
53,0.6722,0.7698,1872.92,26.65
54,0.6660,0.7694,1871.98,26.67
55,0.6635,0.7734,1871.47,26.67
56,0.6497,0.7776,1853.71,26.93
57,0.6523,0.7774,1872.31,26.66
58,0.6423,0.7798,1872.87,26.65
59,0.6459,0.7781,1872.65,26.66
60,0.6384,0.7820,1872.88,26.65
61,0.6230,0.7867,1872.88,26.65
62,0.6271,0.7867,1873.41,26.65
63,0.6211,0.7866,1872.99,26.65
64,0.6172,0.7891,1873.28,26.65
65,0.6057,0.7928,1873.94,26.64
66,0.6091,0.7906,1873.40,26.65
67,0.6031,0.7931,1874.34,26.63
68,0.6045,0.7937,1874.06,26.64
69,0.5962,0.7952,1874.26,26.63
70,0.5964,0.7957,1873.77,26.64
71,0.5888,0.7981,1875.00,26.62
72,0.5881,0.7983,1874.47,26.63
73,0.5859,0.7981,1872.96,26.65
74,0.5888,0.7988,1873.34,26.65
75,0.5866,0.7996,1873.68,26.64
76,0.5809,0.8011,1873.81,26.64
77,0.5691,0.8062,1874.25,26.63
78,0.5764,0.8023,1874.21,26.64
79,0.5750,0.8036,1873.74,26.64
80,0.5674,0.8072,1856.43,26.89
