# DDP ResNet152, world_size=2, global_batch=256, local_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,5.3146,0.1023,3842.76,13.01
2,2.5473,0.1009,3923.20,12.74
3,2.3504,0.1020,3871.78,12.91
4,2.3199,0.1000,3907.19,12.80
5,2.2961,0.1128,3905.12,12.80
6,2.0880,0.2026,3893.07,12.84
7,1.9583,0.2477,3884.82,12.87
8,1.8873,0.2776,3858.55,12.96
9,1.8634,0.2908,3830.11,13.05
10,1.7957,0.3153,3835.19,13.04
11,1.7325,0.3342,3877.31,12.90
12,1.6931,0.3511,3883.34,12.88
13,1.6352,0.3819,3873.47,12.91
14,1.7750,0.3231,3844.25,13.01
15,1.6506,0.3742,3880.88,12.88
16,1.5894,0.4107,3796.58,13.17
17,1.5445,0.4303,3789.67,13.19
18,1.5112,0.4446,3870.38,12.92
19,1.4409,0.4781,3887.91,12.86
20,1.3956,0.4980,3855.14,12.97
21,1.3565,0.5120,3800.86,13.15
22,1.3337,0.5236,3839.82,13.02
23,1.2905,0.5399,3881.37,12.88
24,1.2661,0.5476,3831.59,13.05
25,1.2128,0.5673,3874.40,12.91
26,1.2174,0.5674,3869.83,12.92
27,1.2297,0.5641,3874.57,12.90
28,1.1442,0.5951,3873.57,12.91
29,1.1016,0.6112,3885.12,12.87
30,1.0833,0.6173,3842.73,13.01
31,1.0408,0.6342,3828.96,13.06
32,1.0143,0.6456,3875.85,12.90
33,0.9788,0.6560,3838.63,13.03
34,0.9409,0.6708,3853.63,12.97
35,0.9092,0.6820,3878.01,12.89
36,0.8863,0.6896,3872.59,12.91
37,0.8700,0.6964,3808.23,13.13
38,0.8433,0.7066,3882.75,12.88
39,0.8113,0.7195,3870.25,12.92
40,0.8057,0.7210,3856.06,12.97
41,0.7791,0.7300,3790.21,13.19
42,0.7650,0.7364,3805.26,13.14
43,0.7452,0.7427,3789.04,13.20
44,0.7439,0.7437,3795.66,13.17
45,0.7252,0.7501,3796.88,13.17
46,0.7116,0.7550,3893.70,12.84
47,0.7052,0.7554,3898.19,12.83
48,0.6931,0.7623,3896.65,12.83
49,0.6900,0.7607,3869.04,12.92
50,0.6764,0.7662,3900.79,12.82
51,0.6698,0.7700,3869.94,12.92
52,0.6598,0.7735,3867.25,12.93
53,0.6564,0.7757,3894.97,12.84
54,0.6466,0.7769,3898.43,12.83
55,0.6381,0.7801,3893.81,12.84
56,0.6402,0.7797,3895.69,12.83
57,0.6232,0.7860,3889.14,12.86
58,0.6229,0.7857,3893.72,12.84
59,0.6188,0.7872,3892.20,12.85
60,0.6143,0.7890,3891.05,12.85
61,0.6090,0.7899,3893.05,12.84
62,0.6095,0.7904,3891.28,12.85
63,0.6052,0.7917,3898.46,12.83
64,0.6005,0.7929,3894.81,12.84
65,0.6005,0.7942,3895.73,12.83
66,0.5908,0.7975,3861.51,12.95
67,0.5832,0.8012,3895.79,12.83
68,0.5854,0.7993,3895.67,12.83
69,0.5779,0.8013,3860.24,12.95
70,0.5725,0.8033,3896.17,12.83
71,0.5701,0.8034,3897.62,12.83
72,0.5835,0.8003,3896.24,12.83
73,0.5730,0.8046,3819.48,13.09
74,0.5682,0.8057,3893.28,12.84
75,0.5629,0.8063,3894.92,12.84
76,0.5643,0.8066,3892.35,12.85
77,0.5610,0.8079,3890.42,12.85
78,0.5540,0.8093,3898.36,12.83
79,0.5559,0.8111,3837.78,13.03
80,0.5547,0.8103,3891.46,12.85
