# m=4, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,2.2702,0.2589,6882.03,7.25
2,1.6333,0.3929,7514.59,6.64
3,1.4813,0.4569,7334.19,6.81
4,1.3097,0.5291,7249.01,6.89
5,1.1873,0.5807,7340.98,6.80
6,1.1005,0.6136,7658.99,6.52
7,1.0436,0.6357,7610.07,6.56
8,0.9833,0.6557,7906.51,6.31
9,0.9564,0.6693,7664.48,6.51
10,0.9199,0.6830,7755.21,6.44
11,0.8970,0.6906,7914.78,6.31
12,0.8735,0.6976,7447.45,6.70
13,0.8596,0.7045,7661.03,6.52
14,0.8473,0.7088,7653.74,6.52
15,0.8318,0.7154,7436.12,6.71

# m=4, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,2.1683,0.3035,12740.16,3.92
2,1.5497,0.4389,14036.53,3.56
3,1.3265,0.5180,14034.88,3.56
4,1.1940,0.5708,14338.76,3.48
5,1.0974,0.6117,13126.39,3.80
6,1.0095,0.6404,14634.13,3.41
7,0.9493,0.6639,13198.76,3.78
8,0.8913,0.6847,14625.60,3.41
9,0.8507,0.7049,13948.55,3.58
10,0.8202,0.7124,13623.73,3.66
11,0.7918,0.7254,14075.40,3.55
12,0.7625,0.7365,13988.73,3.57
13,0.7409,0.7419,13727.18,3.64
14,0.7255,0.7492,13626.50,3.66
15,0.7087,0.7533,13886.05,3.59

# m=4, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,2.3385,0.2757,20410.03,2.43
2,1.6428,0.4160,24431.20,2.03
3,1.4526,0.4791,24446.96,2.03
4,1.3276,0.5270,24346.70,2.04
5,1.1941,0.5769,23556.07,2.11
6,1.0890,0.6117,24547.16,2.02
7,1.0206,0.6382,24378.46,2.04
8,0.9453,0.6658,24632.34,2.02
9,0.9003,0.6806,24548.44,2.02
10,0.8648,0.6948,24307.70,2.04
11,0.8222,0.7128,24509.70,2.03
12,0.7908,0.7209,24563.59,2.02
13,0.7517,0.7364,24481.77,2.03
14,0.7348,0.7417,24641.86,2.02
